Temple,Status,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,County,State,Postal Code,Country,Phone,
Asunción Paraguay Temple,Dedicated,-25.287916,-57.602869,"25°17'16""S","57°36'10""W",Avda Brasilia Esquina Avda España,Asunción,,,,Paraguay,(+595) 21-216-9200,
Atlanta Georgia Temple,Dedicated,33.931896,-84.362394,"33°55'54""N","84°21'44""W",6450 Barfield Rd NE,Sandy Springs,Fulton,Georgia,30328-4283,United States,(+1) 770-393-3698,
Auckland New Zealand Temple,Under Construction,-36.993227,174.890191,"36°59'35""S","174°53'24""E",Redoubt Road Manukau,Auckland,,,,New Zealand,,
Austin Texas Temple,Under Construction,30.51681449,-97.79687,"30°31'0""N","97°47'48""W",1801 East Park Street,Cedar Park,Williamson,Texas,,United States,,
Bacolod Philippines Temple,Under Construction,10.696648,122.989455,"10°41'47""N","122°59'22""E",Bacolod Airport Access Road,Bacolod,,,,Philippines,,
Bahía Blanca Argentina Temple,Under Construction,-38.69117,-62.235937,"38°41'28""S","62°14'9""W",Avenida Alberto Pedro Cabrera Aldea Romana,Bahia Blanca,,,,Argentina,,
Bakersfield California Temple,Announced,35.35502332,-119.138634,"35°21'18""N","119°8'19""W",Stockdale Highway and Jewetta Avenue,Bakersfield,Kern,California,,United States,,
Bangkok Thailand Temple,Dedicated,13.749491,100.562527,"13°44'58""N","100°33'45""E",1645/6 New Petchaburi Road Makkasan Ratchathewi,Bangkok,,,10400,Thailand,(+66) 02-021-7200,
Barcelona Spain Temple,Announced,41.48746553,2.06931235,"41°29'14""N","2°4'9""E",Avinguda de la Vía Augusta y Avinguda de la Clota,Sant Cugat del Vallès,,Barcelona,,Spain,,
Barranquilla Colombia Temple,Dedicated,11.016798,-74.86261,"11°1'0""N","74°51'45""W",Carrera 46 via Al Mar PR 107 Sentido,Barranquilla,,Atlantico,,Colombia,(+57) 605-310-0200,
Baton Rouge Louisiana Temple,Dedicated,30.362664,-91.108385,"30°21'45""N","91°6'30""W",10339 Highland Rd,Baton Rouge,East Baton Rouge Parish,Louisiana,70810,United States,(+1) 225-769-1197,
Beira Mozambique Temple,Announced,-19.84590986,34.8551898,"19°50'45""S","34°51'18""E",,Beira,,,,Mozambique,,
Belém Brazil Temple,Dedicated,-1.387242,-48.459894,"1°23'14""S","48°27'35""W",Av. Centenário da Assembleia de Deus 2200 Parque Verde,Belém,,Pará,66635-894,Brazil,(+55) 91-3323-0797,
Belo Horizonte Brazil Temple,Under Construction,-19.87920488,-43.978641,"19°52'45""S","43°58'43""W",Rua Professor Jose Vieira de Mendonça 1485 Engenho Nogueira,Belo Horizonte,,Minas Gerais,,Brazil,,
Bengaluru India Temple,Under Construction,12.992096,77.704714,"12°59'31""N","77°42'16""E",2-B Whitefield Main Road Garudachar Palya Mahadevapura,Bengaluru,,Karnataka,560048,India,,
Benin City Nigeria Temple,Announced,6.31456524,5.62516446,"6°18'52""N","5°37'30""E",16 Commercial Avenue,Benin City,,,,Nigeria,,
Bentonville Arkansas Temple,Dedicated,36.38500576,-94.183255,"36°23'6""N","94°10'59""W",1105 McCollum Dr,Bentonville,Benton,Arkansas,72712,United States,(+1) 479-319-2616,
Bern Switzerland Temple,Dedicated,47.002192,7.458244,"47°0'7""N","7°27'29""E",Tempelstrasse 2,Zollikofen,,,CH-3052,Switzerland,(+41) 31-915-5252,
Billings Montana Temple,Dedicated,45.800505,-108.63939,"45°48'1""N","108°38'21""W",3100 Rim Point Dr,Billings,Yellowstone,Montana,59106-1386,United States,(+1) 406-655-0607,
Birmingham Alabama Temple,Dedicated,33.674623,-86.821236,"33°40'28""N","86°49'16""W",1927 Mount Olive Blvd,Gardendale,Jefferson,Alabama,35071,United States,(+1) 205-631-3444,
Birmingham England Temple,Announced,52.53551078,-1.8123859,"52°32'7""N","1°48'44""W",185-187 Penns Lane Royal Sutton Coldfield,Birmingham,,,,United Kingdom,,
Bismarck North Dakota Temple,Dedicated,46.838889,-100.813979,"46°50'20""N","100°48'50""W",2930 Cody Dr,Bismarck,Burleigh,North Dakota,58503-0116,United States,(+1) 701-258-9590,
Bogotá Colombia Temple,Dedicated,4.707801,-74.056247,"4°42'28""N","74°3'22""W",Carrera 46 N°127-45,Bogotá,,Distrito Capital,,Colombia,(+57) 601-307-4959,
Boise Idaho Temple,Dedicated,43.593523,-116.275034,"43°35'36""N","116°16'30""W",1211 S Cole Rd,Boise,Ada,Idaho,83709-1871,United States,(+1) 208-322-4422,
Boston Massachusetts Temple,Dedicated,42.412002,-71.188091,"42°24'43""N","71°11'17""W",100 Hinckley Wy,Belmont,Middlesex,Massachusetts,02478-2135,United States,(+1) 617-993-9993,
Bountiful Utah Temple,Dedicated,40.882853,-111.846812,"40°52'58""N","111°50'48""W",640 S Bountiful Blvd,Bountiful,Davis,Utah,84010-1394,United States,(+1) 801-296-2100,
Brasília Brazil Temple,Dedicated,-15.747835,-47.880945,"15°44'52""S","47°52'51""W","SGAN 612 ? Módulo ""C"" ? Asa Norte",Brasilia,,Distrito Federal,70.830-550,Brazil,(+55) 61-3799-3090,
Brigham City Utah Temple,Dedicated,41.505376,-112.016592,"41°30'19""N","112°0'59""W",250 S Main St,Brigham City,Box Elder,Utah,84302-2560,United States,(+1) 435-695-2170,
Brisbane Australia Temple,Dedicated,-27.480886,153.033841,"27°28'51""S","153°2'1""E",200 River Terrace,Kangaroo Point,,Queensland,4169,Australia,(+61) 7-3240-3600,
Brussels Belgium Temple,Announced,50.84171761,4.36710126,"50°50'30""N","4°22'1""E",Ave des Arts 52,Brussels,,,,Belgium,,
Budapest Hungary Temple,Announced,47.57024544,19.00634892,"47°34'12""N","19°0'22""E",Kocsis Sándor út and Borsikaf? utca Harsánylejt?,Budapest,,,,Hungary,,
Buenos Aires Argentina Temple,Dedicated,-34.729286,-58.518225,"34°43'45""S","58°31'5""W",Aut. Tte. Gral. Riccheri N° 4955,Ciudad Evita,,Buenos Aires,B1778DUA,Argentina,(+54) 11-4693-9700,
Burley Idaho Temple,Under Construction,42.52659109,-113.764841,"42°31'35""N","113°45'53""W",40 S 150 E,Burley,Cassia,Idaho,,United States,,
Cagayan de Oro Philippines Temple,Under Construction,8.47908926,124.6598511,"8°28'44""N","124°39'35""E",Lot 2163-c and Lot 2163-d Rosario Limketkai Avenue,Cagayan de Oro City,,Misamis,,Philippines,,
Calgary Alberta Temple,Dedicated,51.140861,-114.2333,"51°8'27""N","114°13'59""W",9802 Rocky Ridge Rd NW,Calgary,,Alberta,T3G 5J7,Canada,(+1) 403-241-4250,
Cali Colombia Temple,Announced,3.48698324,-76.521499,"3°29'13""N","76°31'17""W",Calle 50 Norte and Avenida 4a Norte La Flora,Cali,,,,Colombia,,
Campinas Brazil Temple,Dedicated,-22.896534,-47.001133,"22°53'47""S","47°0'4""W",Rua James Esdras Faust 400 Notre Dame,Campinas,,São Paulo,13092-820,Brazil,(+55) 19-2102-5800,
Cape Town South Africa Temple,Announced,-33.94114387,18.4797749,"33°56'28""S","18°28'47""E",3 Liesbeek Ave Observatory,Cape Town,,,,South Africa,,
Caracas Venezuela Temple,Dedicated,10.470849,-66.837293,"10°28'15""N","66°50'14""W",Urb Caurimare Avenida. C con Calle C-1,Caracas 1062-A,,Dependencias Federales,,Venezuela,(+58) 212-985-3051,
Cardston Alberta Temple,Dedicated,49.19835,-113.309394,"49°11'54""N","113°18'33""W",348 3rd St W,Cardston,,Alberta,T0K 0K0,Canada,(+1) 403-653-3552,
Casper Wyoming Temple,Under Construction,42.80908928,-106.361814,"42°48'32""N","106°21'42""W",3011 Independence Court,Casper,Natrona,Wyoming,82604,United States,,
Cebu City Philippines Temple,Dedicated,10.327659,123.898299,"10°19'39""N","123°53'53""E",Gorordo Avenue Barangay Lahug,Cebu City,,Cebu,6000,Philippines,(+63) 32-230-1207,
Cedar City Utah Temple,Dedicated,37.671734,-113.096271,"37°40'18""N","113°5'46""W",280 South Cove Dr,Cedar City,Iron,Utah,84720,United States,(+1) 435-572-4150,
Charlotte North Carolina Temple,Announced,35.00752312,-80.76566731,"35°0'27""N","80°45'56""W",345 Providence Rd S,Weddington,Union,North Carolina,,United States,,
Chicago Illinois Temple,Dedicated,42.086829,-87.859501,"42°5'12""N","87°51'34""W",4151 W Lake Ave,Glenview,Cook,Illinois,60025-1240,United States,(+1) 847-299-6500,
Cincinnati Ohio Temple,Announced,39.32725034,-84.3168764,"39°19'38""N","84°19'0""W",Mason-Montgomery Road and Cedar Village Drive,Mason,,Ohio,45040,United States,,
Ciudad Juárez Mexico Temple,Dedicated,31.736269,-106.463209,"31°44'10""N","106°27'47""W",Calle Paraguay #290 Esq. José Borunda Col. Partido Romero,Ciudad Juárez,,Chihuahua,32177,Mexico,(+52) 656-611-5146,
Cleveland Ohio Temple,Under Construction,41.39986912,-81.636826,"41°23'59""N","81°38'12""W",5997 Brecksville Road,Independence,Cuyahoga,Ohio,44131,United States,,
Cobán Guatemala Temple,Dedicated,15.459077,-90.365166,"15°27'32""N","90°21'54""W",4ª. Avenida 4-48 Zona 8 Barrio Bella Vista,Cobán,,Alta Verapaz,,Guatemala,(+502) 7963-6150,
Cochabamba Bolivia Temple,Dedicated,-17.363644,-66.147644,"17°21'49""S","66°8'51""W",Av. Melchor Urquidi 1500 Alto Queru Queru,Cochabamba,,,,Bolivia,(+591) 4-429-3161,
Cody Wyoming Temple,Announced,44.51148354,-109.081796,"44°30'41""N","109°4'54""W",Skyline Drive,Cody,Park,Wyoming,,United States,,
Colonia Juárez Chihuahua Mexico Temple,Dedicated,30.305251,-108.082038,"30°18'18""N","108°4'55""W",Chihuahua y Diaz S/N,Colonia Juárez,,Chihuahua,31857,Mexico,(+52) 636-110-9427,
Columbia River Washington Temple,Dedicated,46.226733,-119.274893,"46°13'36""N","119°16'29""W",969 Gage Blvd,Richland,Benton,Washington,99352-7777,United States,(+1) 509-628-0990,
Columbia South Carolina Temple,Dedicated,33.959638,-80.893981,"33°57'34""N","80°53'38""W",2905 Trotter Rd,Hopkins,Richland,South Carolina,29061-9573,United States,(+1) 803-647-9472,
Columbus Ohio Temple,Dedicated,39.994089,-83.113214,"39°59'38""N","83°6'47""W",3870 Gateway Blvd,Columbus,Franklin,Ohio,43228-9747,United States,(+1) 614-351-5001,
Concepción Chile Temple,Dedicated,-36.851499,-73.049966,"36°51'5""S","73°2'59""W",1525 Pedro de Valdivia,Concepción,,Bio-Bio,,Chile,(+56) 41-3834700,
Copenhagen Denmark Temple,Dedicated,55.692677,12.53392,"55°41'33""N","12°32'2""E",Priorvej 12,Frederiksberg,,,2000,Denmark,(+45) 38-18-1818,
Córdoba Argentina Temple,Dedicated,-31.358873,-64.245809,"31°21'31""S","64°14'44""W",Avenida Pedro Laplace 5637,Córdoba,,,CP5021,Argentina,(+54) 354-340-6200,
Cuernavaca Mexico Temple,Announced,18.93473808,-99.226499,"18°56'5""N","99°13'35""W",Calle Hernán Cortes and Calle Santa Prisca Colonia Vista Hermosa,Cuernavaca,,Morelos,,Mexico,,
Curitiba Brazil Temple,Dedicated,-25.441304,-49.342138,"25°26'28""S","49°20'31""W",Rua Deputado Heitor Alencar Furtado 3641 Mossunguê,Curitiba,,Paraná,81200-110,Brazil,(+55) 41-3204-6650,
Cusco Peru Temple,Announced,-13.51593102,-71.984943,"13°30'57""S","71°59'5""W",Avenida Arcopata 452,Cusco,,,,Peru,,
Dallas Texas Temple,Dedicated,32.914288,-96.796525,"32°54'51""N","96°47'47""W",6363 Willow Ln,Dallas,Dallas,Texas,75230-2227,United States,(+1) 972-991-1273,
Davao Philippines Temple,Under Construction,7.088597,125.579755,"7°5'18""N","125°34'47""E",Ma-a Road and Anahaw Road Barangay Ma-a,Davao City,,Davao del Sur,8000,Philippines,,
Denver Colorado Temple,Dedicated,39.568698,-104.965782,"39°34'7""N","104°57'56""W",2001 E Phillips Cir,Centennial,Arapahoe,Colorado,80122-3264,United States,(+1) 303-730-0220,
Des Moines Iowa Temple,Announced,41.67117719,-93.742485,"41°40'16""N","93°44'32""W",9050 NW 62nd Avenue,Johnston,,Iowa,50131,United States,,
Deseret Peak Utah Temple,Under Construction,40.57266168,-112.31397,"40°34'21""N","112°18'50""W",2401 North 400 West,Tooele,Tooele,Utah,84074,United States,,
Detroit Michigan Temple,Dedicated,42.566266,-83.229983,"42°33'58""N","83°13'47""W",37425 Woodward Ave,Bloomfield Hills,Oakland,Michigan,48304,United States,(+1) 248-593-0690,
Draper Utah Temple,Dedicated,40.495893,-111.840748,"40°29'45""N","111°50'26""W",14065 Canyon Vista Ln,Draper,Salt Lake,Utah,84020-5626,United States,(+1) 801-576-4240,
Durban South Africa Temple,Dedicated,-29.708455,31.073671,"29°42'30""S","31°4'25""E",2 Izinga Drive Izinga Ridge,Umhlanga,,KwaZulu-Natal,4021,South Africa,(+27) 31-140-0240,
Edmonton Alberta Temple,Dedicated,53.489593,-113.570538,"53°29'22""N","113°34'13""W",14335 53rd Ave NW,Edmonton,,Alberta,T6H 5G6,Canada,(+1) 780-434-7436,
Elko Nevada Temple,Under Construction,40.85249525,-115.750084,"40°51'8""N","115°45'0""W",Ruby Vista Drive,Elko,Elko,Nevada,,United States,,
Ephraim Utah Temple,Under Construction,39.36353987,-111.576,"39°21'48""N","111°34'33""W",200 North and 400 East,Ephraim,Sanpete,Utah,,United States,,
Farmington New Mexico Temple,Under Construction,36.76909739,-108.1654604,"36°46'8""N","108°9'55""W",4400 College Boulevard,Farmington,San Juan,New Mexico,,United States,,
Feather River California Temple,Dedicated,39.146344,-121.639963,"39°8'46""N","121°38'23""W",1470 Butte House Road,Yuba City,Sutter,California,95993,United States,(+1) 530-491-2710,
Fort Collins Colorado Temple,Dedicated,40.494269,-105.038685,"40°29'39""N","105°2'19""W",2180 Majestic Dr,Fort Collins,Larimer,Colorado,80528,United States,(+1) 970-797-4630,
Fort Lauderdale Florida Temple,Dedicated,26.070899,-80.355727,"26°4'15""N","80°21'20""W",3901 SW 154th Ave,Davie,Broward,Florida,33331,United States,(+1) 954-382-8390,
Fort Worth Texas Temple,Under Construction,32.51684225,-97.3575068,"32°31'0""N","97°21'27""W",North of SW Hulen Street and Greenridge Drive,Burleson,Johnson,Texas,,United States,,
Fortaleza Brazil Temple,Dedicated,-3.747847,-38.46101,"3°44'52""S","38°27'39""W",Avenida Santos Dumont 7771 Bairro de Lourdes,Fortaleza,,Ceará,60177-415,Brazil,(+55) 85-3533-7150,
Frankfurt Germany Temple,Dedicated,50.258246,8.641316,"50°15'29""N","8°38'28""E",Talstrasse 10,Friedrichsdorf/TS,,,61381,Germany,(+49) 6172-59000,
Freetown Sierra Leone Temple,Under Construction,8.38763235,-13.1387593,"8°23'15""N","13°8'19""W",Jui Road Kossoh Town,Freetown,,,,Sierra Leone,,
Freiberg Germany Temple,Dedicated,50.922315,13.322541,"50°55'20""N","13°19'21""E",Hainichener Strasse 64,Freiberg,,,9599,Germany,(+49) 3731-35960,
Fresno California Temple,Dedicated,36.828257,-119.852911,"36°49'41""N","119°51'10""W",6290 N Valentine Ave,Fresno,Fresno,California,93711,United States,(+1) 559-437-9451,
Fukuoka Japan Temple,Dedicated,33.572618,130.391704,"33°34'21""N","130°23'30""E",9-15 Hirao Johsui Machi Chuo-ku,Fukuoka-shi,,Fukuoka,810-0029,Japan,(+81) 92-525-8255,
Gilbert Arizona Temple,Dedicated,33.291378,-111.737365,"33°17'28""N","111°44'14""W",3301 S Greenfield Rd,Gilbert,Maricopa,Arizona,85297,United States,(+1) 480-822-5000,
Grand Junction Colorado Temple,Under Construction,39.10144203,-108.551144,"39°6'5""N","108°33'4""W",Horizon Drive and North 12th Street,Grand Junction,Mesa,Colorado,,United States,,
Grand Rapids Michigan Temple,Announced,42.91961105,-85.5582121,"42°55'10""N","85°33'29""W",2400 Forest Hill Ave SE,Grand Rapids,Kent,Michigan,49546,United States,,
Guadalajara Mexico Temple,Dedicated,20.66155,-103.42307,"20°39'41""N","103°25'23""W",Av. Patria #879 Fracc. Jardines Tepeyac,Zapopan,,Jalisco,45030,Mexico,(+52) 33-3125-1283,
Guatemala City Guatemala Temple,Dedicated,14.583303,-90.485576,"14°34'59""N","90°29'8""W",24 Avenida 2-20 Zona 15 Vista Hermosa 1,Guatemala City,,Guatemala,,Guatemala,(+502) 2329-8300,
Guayaquil Ecuador Temple,Dedicated,-2.156246,-79.904877,"2°9'22""S","79°54'17""W",Calle Rosendo Maridueña 8845 Urdesa Norte,Guayaquil,,,90510,Ecuador,(+593) 4-371-8100,
Halifax Nova Scotia Temple,Dedicated,44.66999,-63.489038,"44°40'11""N","63°29'20""W",44 Cumberland Dr,Dartmouth,,Nova Scotia, B2V 2C7,Canada,(+1) 902-434-6920,
Hamilton New Zealand Temple,Dedicated,-37.826397,175.224885,"37°49'35""S","175°13'29""E",509 Tuhikaramea Rd Temple View,Hamilton,,,3218,New Zealand,(+64) 7-846-2750,
Harare Zimbabwe Temple,Under Construction,-17.804085,31.082426,"17°48'14""S","31°4'56""E",65 Enterprise Road Highlands,Harare,,,,Zimbabwe,,
Harrisburg Pennsylvania Temple,Announced,40.28396312,-76.80293568,"40°17'2""N","76°48'10""W",605 Rutherford Road,Harrisburg,Dauphin,Pennsylvania,17109,United States,,
Hartford Connecticut Temple,Dedicated,41.73780896,-72.844528,"41°44'16""N","72°50'40""W",2 Central Wy,Farmington,Hartford,Connecticut,6032,United States,(+1) 860-773-7200,
Heber Valley Utah Temple,Under Construction,40.5066327,-111.389452,"40°30'23""N","111°23'22""W",1400 E Center St,Heber City,Wasatch,Utah,,United States,,
Helena Montana Temple,Dedicated,46.63372488,-112.01924,"46°38'1""N","112°1'9""W",1260 Otter Road,Helena,Lewis and Clark,Montana,59602,United States,(+1) 406-389-4520,
Helsinki Finland Temple,Dedicated,60.225193,24.781785,"60°13'30""N","24°46'54""E",Leppäsillantie 3,Espoo,,,FI-02620,Finland,(+358) 9-849-37110,
Hermosillo Sonora Mexico Temple,Dedicated,29.102548,-110.94687,"29°6'9""N","110°56'48""W",General Pedro Garcia Conde No 303 Esquina Con Juan José Ríos Colonia Pitic,Hermosillo,,Sonora,83150,Mexico,(+52) 662-210-5660,
Hong Kong China Temple,Dedicated,22.34045,114.177336,"22°20'25""N","114°10'38""E",2 Cornwall St Kowloon Tong,Kowloon City,,,,Hong Kong,(+852) 2910-9300,
Houston Texas Temple,Dedicated,29.999729,-95.533038,"29°59'59""N","95°31'58""W",15725 Champion Forest Dr,Klein,Harris,Texas,77379-7036,United States,(+1) 281-376-6804,
Huehuetenango Guatemala Temple,Announced,15.32618492,-91.48993,"15°19'34""N","91°29'23""W",18 Avenida Zona 4 El Terrero,Huehuetenango,,,,Guatemala,,
Idaho Falls Idaho Temple,Dedicated,43.499819,-112.0415,"43°29'59""N","112°2'29""W",1000 Memorial Dr,Idaho Falls,Bonneville,Idaho,83402-3410,United States,(+1) 208-522-7669,
Indianapolis Indiana Temple,Dedicated,39.955588,-86.165741,"39°57'20""N","86°9'56""W",11565 Temple Dr,Carmel,Hamilton,Indiana,46032-8859,United States,(+1) 317-993-3800,
Iquitos Peru Temple,Announced,-3.76081711,-73.26756,"3°45'38""S","73°16'3""W",Calle San Marcos 117?137 San Juan Bautista,Iquitos,,Maynas, Loreto,,Peru,
Jacksonville Florida Temple,Announced,30.16175005,-81.6235071,"30°9'42""N","81°37'24""W",3323 Loretto Road,Jacksonville,Duval,Florida,,United States,,
Jakarta Indonesia Temple,Announced,-6.24090219,106.837533,"6°14'27""S","106°50'15""E",Synthesis Square Jalan Gatot Subroto No. 177A Tebet District South Jakarta City,Jakarta,,,,Indonesia,,
João Pessoa Brazil Temple,Announced,-7.1242103,-34.829102,"7°7'27""S","34°49'44""W",Rua Paulino Pinto and Avenida Ministro José Américo de Almeida Cabo Branco,João Pessoa,,Paraíba,,Brazil,,
Johannesburg South Africa Temple,Dedicated,-26.178051,28.039195,"26°10'40""S","28°2'21""E",7 Jubilee Rd Parktown,Johannesburg,,,2193,South Africa,(+27) 11-645-1540,
Jordan River Utah Temple,Dedicated,40.566354,-111.931417,"40°33'58""N","111°55'53""W",10200 S Temple Drive,South Jordan,Salt Lake,Utah,84095-8814,United States,(+1) 801-254-3003,
Kananga Democratic Republic of the Congo Temple,Announced,-5.8951076,22.42968712,"5°53'42""S","22°25'46""E",Avenue Ilunga and N1,Kananga,,Kasaï-Central,,Democratic Republic of the Congo,,
Kansas City Missouri Temple,Dedicated,39.220473,-94.501331,"39°13'13""N","94°30'4""W",7001 Searcy Creek Pkwy,Kansas City,Clay,Missouri, 64119-5336,United States,(+1) 816-413-1430,
Kaohsiung Taiwan Temple,Under Construction,22.6507433,120.3455124,"22°39'2""N","120°20'43""E",Dachang Road and Dehua Street Niaosong District,Kaohsiung,,,,Taiwan,,
Kinshasa Democratic Republic of the Congo Temple,Dedicated,-4.327478,15.27371,"4°19'38""S","15°16'25""E",51 Avenue de L?OUA Quartier Basoko GB Commune de Ngaliema,Kinshasa,,,,Democratic Republic of the Congo,(+243) 815-590-060,
Knoxville Tennessee Temple,Under Construction,35.86456549,-84.2182371,"35°51'52""N","84°13'5""W",13001 Kingston Pike,Farragut,Knox,Tennessee,37934,United States,,
Kona Hawaii Temple,Dedicated,19.641614,-155.985524,"19°38'29""N","155°59'7""W",75-230 Kalani St,Kailua Kona,Hawaii,Hawaii,96740-1833,United States,(+1) 808-331-8504,
Kumasi Ghana Temple,Announced,6.70235776,-1.64114052,"6°42'8""N","1°38'28""W",Y11 Suntreso Rd Bantama,Kumasi,,,,Ghana,,
Kyiv Ukraine Temple,Dedicated,50.404517,30.395565,"50°24'16""N","30°23'44""E",1 Yabluneva Street v. Sofiivs'ka Borshchagivka,Kyevo-Sviatoshyns'ky Rayon,,Kyivs'ka Oblast,8131,Ukraine,(+380) 44-371-4088,
La Paz Bolivia Temple,Announced,-16.54371222,-68.089215,"16°32'37""S","68°5'21""W",Avenida Los Sauces and Calle 8 de Calacoto Calacoto,La Paz,,,,Bolivia,,
Lagos Nigeria Temple,Announced,6.44490729,3.43138695,"6°26'41""N","3°25'52""E",Rumens Road and Bourdillon Road Ikoyi,Lagos,,,,Nigeria,,
Laie Hawaii Temple,Dedicated,21.647207,-157.930658,"21°38'49""N","157°55'50""W",55-600 Naniloa Loop,Laie,Honolulu,Hawaii,96762-2202,United States,(+1) 808-293-2427,
Las Vegas Nevada Temple,Dedicated,36.174597,-115.020052,"36°10'28""N","115°1'12""W",827 Temple View Dr,Las Vegas,Clark,Nevada,89110-2920,United States,(+1) 702-452-5011,
Layton Utah Temple,Dedicated,41.061699,-111.938379,"41°3'42""N","111°56'18""W",1400 Oak Hills Dr,Layton,Davis,Utah,84040,United States,(+1) 385-306-5910,
Lehi Utah Temple,Announced,40.43932614,-111.85131,"40°26'21""N","111°51'4""W",Northwest of 3950 North and Center Street,Lehi,Utah,Utah,,United States,,
Lethbridge Alberta Temple,Announced,49.67041434,-112.91089,"49°40'13""N","112°54'39""W",Whoop Up Drive West and Mauretania Road West,Lethbridge,,Alberta,,Canada,,
Lima Peru Los Olivos Temple,Dedicated,-12.019992,-77.054237,"12°1'11""S","77°3'15""W",Av. Eloy Espinoza 680 Urb. Palao San Martin de Porres,Lima,,,15,Peru,(+51) 1-604-4960,
Lima Peru Temple,Dedicated,-12.069713,-76.948897,"12°4'10""S","76°56'56""W",Av. Javier Prado Este 6420 Urb. Santa Patricia La Molina,Lima,,,12,Peru,(+51) 1-612-7200,
Lindon Utah Temple,Under Construction,40.33730438,-111.6953838,"40°20'14""N","111°41'43""W",Approximately 850 East Center Street,Lindon,Utah,Utah,,United States,,
Lisbon Portugal Temple,Dedicated,38.779187,-9.098784,"38°46'45""N","9°5'55""W",Avenida Dom João II Nº75 Parque Das Nações,Lisboa,,,1990-364,Portugal,(+351) 308-811-650,
Logan Utah Temple,Dedicated,41.734161,-111.827943,"41°44'2""N","111°49'40""W",175 N 300 E,Logan,Cache,Utah,84321-4720,United States,(+1) 435-752-3611,
London England Temple,Dedicated,51.162566,-0.052181,"51°9'45""N","-0°3'7""E",West Park Road Newchapel,Surrey,,England, RH7 6HW,United Kingdom,(+44) 1342 831-400,
Londrina Brazil Temple,Under Construction,-23.34460281,-51.160186,"23°20'40""S","51°9'36""W",Avenida Harry Prochet Jardim São Jorge,Londrina,,Paraná,,Brazil,,
Lone Mountain Nevada Temple,Announced,36.23619575,-115.304183,"36°14'10""N","115°18'15""W",Lone Mountain,Las Vegas,Clark,Nevada,,United States,,
Los Angeles California Temple,Dedicated,34.052801,-118.433909,"34°3'10""N","118°26'2""W",10777 Santa Monica Blvd,Los Angeles,Los Angeles,California,90025-4718,United States,(+1) 310-474-5569,
Louisville Kentucky Temple,Dedicated,38.32112,-85.488843,"38°19'16""N","85°29'19""W",7118 West Hwy 22,Crestwood,Oldham,Kentucky,40014,United States,(+1) 502-241-4115,
Lubbock Texas Temple,Dedicated,33.528961,-101.941413,"33°31'44""N","101°56'29""W",7016 Frankford Ave,Lubbock,Lubbock,Texas,79424,United States,(+1) 806-794-0774,
Lubumbashi Democratic Republic of the Congo Temple,Under Construction,-11.64889247,27.468461,"11°38'56""S","27°28'6""E",Av. Kashobwe,Lubumbashi,,,,Democratic Republic of the Congo,,
Maceió Brazil Temple,Announced,-9.60334597,-35.744046,"9°36'12""S","35°44'38""W",Av. Durval de Góes Monteiro Jardim Petropolis,Maceió,,Alagoas,,Brazil,,
Madrid Spain Temple,Dedicated,40.40009,-3.63158,"40°24'0""N","3°37'53""W",Calle del Templo N°2 Madrid,Madrid,,,28030,Spain,(+34) 91-214-2607,
